name,total_budget,total_revenue,total_return
Paul Hunter,52000000.0,0.0,0.0
Dennis Gansel,52000000.0,148493854.0,2.8556510384615383
Ariel Vromen,51500000.0,16677889.0,0.3238425048543689
Denzel Washington,51500000.0,118008491.0,2.291427009708738
Peter Bogdanovich,51300000.0,79072138.0,1.5413672124756337
Gary Sinyor,51000000.0,36911617.0,0.7237571960784314
Jeff Tremaine,51000000.0,406116832.0,7.963075137254902
Nick Willing,51000000.0,0.0,0.0
Tommy Wirkola,50960000.0,226825610.0,4.451052001569859
Guillaume Canet,50500000.0,50946942.0,1.0088503366336634
Nick Hurran,50500000.0,29420266.0,0.5825795247524752
Rian Johnson,50475000.0,56492018.0,1.1192078850916296
Ernest R. Dickerson,50400000.0,63688505.0,1.2636608134920635
Keoni Waxman,50300000.0,0.0,0.0
George Nolfi,50200000.0,127869379.0,2.5471987848605577
Michael Moore,50160000.0,204258558.0,4.072140311004785
